Team,Result,Location,Week,Pass Yds,Opp Pass Yds,Rush Yds,Opp Rush Yds,Points per game,Opp Points per game,Sacks,Opp Sacks,Cmp,Opp Cmp,Plays,Opp Plays,3DConv,3DConv Allowed,Yards per Play,Opp Yards per Play,Temperature,Weather,Team2
rav,W,@,1.0,211.0,297.0,63.0,83.0,24.0,24.0,2.0,3.0,56.7,62.7,53.0,79.0,0.3846153846153846,0.1428571428571428,5.17,4.81,74 °F,Light Rain,nyj
rav,L,,2.0,264.5,379.0,109.0,84.5,31.0,31.0,1.0,2.0,64.55000000000001,67.35,53.5,74.0,0.3423076923076923,0.3896103896103896,6.965,6.369999999999999,81 °F,Clear,mia
rav,W,@,3.0,245.0,353.3333333333333,135.33333333333334,104.66666666666669,33.0,33.0,2.0,2.3333333333333335,63.73333333333334,67.83333333333333,55.333333333333336,70.33333333333333,0.3797202797202797,0.3338143338143338,6.87,6.613333333333332,67 °F,Mostly Cloudy,nwe
rav,L,,4.0,217.25,315.25,142.0,109.75,29.75,29.75,2.0,2.0,65.05000000000001,64.075,57.5,68.25,0.4001748251748251,0.3412698412698413,6.31,6.274999999999999,57 °F,Light Rain,buf
rav,W,,5.0,207.8,290.2,144.6,108.0,27.6,27.6,1.8,2.2,63.92,64.97999999999999,58.2,66.4,0.411048951048951,0.353015873015873,6.114,6.0059999999999985,54 °F,Clear,cin
rav,L,@,6.0,205.66666666666663,267.6666666666667,155.66666666666666,103.83333333333331,26.333333333333332,26.333333333333332,1.8333333333333333,2.5,62.116666666666674,65.88333333333333,58.166666666666664,65.66666666666667,0.4092074592074592,0.3775132275132275,6.261666666666667,5.644999999999999,62 °F,Partly Cloudy,nyg
rav,W,,7.0,189.71428571428572,261.2857142857143,156.28571428571428,105.14285714285714,25.857142857142858,25.857142857142858,2.0,2.857142857142857,61.28571428571429,68.11428571428571,58.857142857142854,64.28571428571429,0.4174159174159174,0.3495567924139352,5.942857142857143,5.695714285714284,65 °F,Overcast,cle
rav,W,@,8.0,193.75,266.75,165.625,97.5,26.0,26.0,2.125,2.875,62.5125,66.9875,60.75,64.0,0.4229312354312354,0.3443237318237317,5.965,5.687499999999999,79 °F,Humid,tam
rav,W,@,9.0,186.77777777777777,258.77777777777777,168.11111111111111,92.0,26.11111111111111,26.11111111111111,2.2222222222222223,3.0,61.62222222222223,66.95555555555556,61.22222222222222,62.333333333333336,0.4426055426055426,0.336368569701903,5.847777777777777,5.606666666666666,76 °F,Clear,nor
rav,W,,11.0,170.36363636363637,227.0909090909091,148.0,78.54545454545455,22.545454545454547,22.545454545454547,2.090909090909091,2.8181818181818183,57.02727272727273,60.56363636363637,56.09090909090909,55.90909090909091,0.3984954439499894,0.2979379206651933,5.209090909090909,4.932727272727272,35 °F,Clear,car
